K,I,Regret,ProcessTime,SpaceUsage
100,0,54.486725432780815,2766374239.0,12435116.0
100,1,52.709067027540165,2936658980.0,12435116.0
100,2,55.941899265018726,4851688365.0,12435116.0
100,3,56.08975673798511,5836467543.0,12435116.0
100,4,53.30356344505031,5092700728.0,12435116.0
100,5,55.71834909695231,5109907965.0,12435116.0
100,6,53.50566644854199,5785964410.0,12435116.0
100,7,57.93347473256165,5788355723.0,12435116.0
100,8,49.59979385141206,5804617823.0,12435116.0
100,9,49.60368804444402,5832771255.0,12435116.0
100,10,53.01362660523644,5769585252.0,12435116.0
100,11,52.95102961267695,5750638133.0,12435116.0
100,12,51.7506154456823,5771742144.0,12435116.0
100,13,56.78577392016059,5762654203.0,12435116.0
100,14,54.3035941086612,5753667046.0,12435116.0
100,15,53.73649167549803,5757758148.0,12435116.0
100,16,53.42169217009224,5775044608.0,12435116.0
100,17,54.01054926745678,5695719503.0,12435116.0
100,18,54.440602831228816,5698132066.0,12435116.0
100,19,56.818746744133286,5715893972.0,12435116.0
120,0,66.9339412787571,6707190179.0,13013516.0
120,1,67.62930260309635,6766946677.0,13013516.0
120,2,63.67056855460908,6629789016.0,13013516.0
120,3,60.47231241737867,6672510694.0,13013516.0
120,4,68.10884995334192,6584285603.0,13013516.0
120,5,64.60923639104192,4190886693.0,13013516.0
120,6,64.5457675323868,3346148589.0,13013516.0
120,7,66.56257117454672,3383052139.0,13013516.0
120,8,64.3867231649141,3358515987.0,13013516.0
120,9,67.5244824605353,3340097293.0,13013516.0
120,10,65.40157556068843,3360593181.0,13013516.0
120,11,60.72113705905872,3352639344.0,13013516.0
120,12,64.31558876716927,3363626085.0,13013516.0
120,13,67.05347071791645,3354925608.0,13013516.0
120,14,65.8418954454818,3363080058.0,13013516.0
120,15,64.24081997386494,3358110885.0,13013516.0
120,16,66.16978805586051,3350858892.0,13013516.0
120,17,64.29119959474872,3346191974.0,13013516.0
120,18,62.19797560286707,3367464040.0,13013516.0
120,19,60.47761776856447,3358239787.0,13013516.0
140,0,74.87208744282054,3902784232.0,13784716.0
140,1,76.89236438624647,3882046322.0,13784716.0
140,2,74.5252985253424,3924102234.0,13784716.0
140,3,79.93177025839017,3955015147.0,13784716.0
140,4,77.33549144966508,3957564491.0,13784716.0
140,5,75.4073399806689,3956042805.0,13784716.0
140,6,74.00098510039805,3950591094.0,13784716.0
140,7,75.11669145002952,3964931728.0,13784716.0
140,8,73.54327862666032,3971644153.0,13784716.0
140,9,75.35861358346602,3947011536.0,13784716.0
140,10,75.96705211289651,3962652381.0,13784716.0
