K,I,Regret,ProcessTime,SpaceUsage
100,0,55.49277633272596,3058267572.0,6651116.0
100,1,53.42590082763734,3497232315.0,6651116.0
100,2,56.20624729494262,3851143343.0,6651116.0
100,3,56.53221975071294,6526606283.0,6651116.0
100,4,52.76998446599914,7739414118.0,6651116.0
100,5,54.5688565371189,7740915259.0,6651116.0
100,6,55.03225239685177,7733830675.0,6651116.0
100,7,54.95475320902328,7738429114.0,6651116.0
100,8,53.1792188520357,7737584971.0,6651116.0
100,9,54.03413809972362,7748292340.0,6651116.0
100,10,54.04024528934818,7726652151.0,6651116.0
100,11,55.55020265019984,7719679749.0,6651116.0
100,12,54.737656675146766,7754173452.0,6651116.0
100,13,56.81856362189428,7776811621.0,6651116.0
100,14,54.23160373824756,7770072192.0,6651116.0
100,15,54.27140053868797,7780701513.0,6651116.0
100,16,55.37880733760574,7773195014.0,6651116.0
100,17,54.92883743925869,7788011633.0,6651116.0
100,18,56.51137705522856,7777224363.0,6651116.0
100,19,56.26979226383765,7766647173.0,6651116.0
120,0,66.82388615090098,9348391795.0,6651116.0
120,1,66.08485526406578,9336564205.0,6651116.0
120,2,64.46067274321318,9326853677.0,6651116.0
120,3,64.81456204774972,9326618370.0,6651116.0
120,4,66.6037653641853,9333757758.0,6651116.0
120,5,65.6000005626476,9333516824.0,6651116.0
120,6,65.17824108525264,9324844135.0,6651116.0
120,7,68.62072590933154,9322684923.0,6651116.0
120,8,66.34301600513874,9327100121.0,6651116.0
120,9,65.95247622253365,9325294333.0,6651116.0
120,10,65.44304992526887,9317325852.0,6651116.0
120,11,62.38090469942444,9316338241.0,6651116.0
120,12,68.40663594087809,9337345214.0,6651116.0
120,13,66.07928491755631,9322739382.0,6651116.0
120,14,66.63033068021298,9333208935.0,6651116.0
120,15,66.14993671546611,9323341122.0,6651116.0
120,16,67.30657232553642,9319462631.0,6651116.0
120,17,65.15503947962124,9319195194.0,6651116.0
120,18,64.02419549535112,9293153266.0,6651116.0
120,19,62.91183467964863,8707514097.0,6651116.0
140,0,77.20197915231238,10875338792.0,6843916.0
140,1,80.14852975463839,10870430746.0,6843916.0
140,2,75.93027247793597,10863645161.0,6843916.0
140,3,77.01241260746534,10853894562.0,6843916.0
140,4,78.49097712810938,10863650019.0,6843916.0
140,5,76.21682899194177,10865837472.0,6843916.0
140,6,74.67935906957672,10873163293.0,6843916.0
140,7,79.1533735917343,10870875263.0,6843916.0
140,8,76.63924937503897,10880793217.0,6843916.0
140,9,76.25456559403933,10870031283.0,6843916.0
140,10,75.29911770732006,10873126837.0,6843916.0
140,11,77.32113745847226,10892420557.0,6843916.0
140,12,76.97996506243166,10871376693.0,6843916.0
140,13,78.14761554044877,10870703821.0,6843916.0
140,14,78.72867042546406,10862190916.0,6843916.0
140,15,79.23925928659119,10866688510.0,6843916.0
140,16,75.59159315558733,10874102318.0,6843916.0
140,17,78.38246680916832,10886605744.0,6843916.0
140,18,79.83528940910782,10862504997.0,6843916.0
140,19,77.1183974372609,10876125885.0,6843916.0
160,0,87.39293494216157,12580531633.0,7036716.0
160,1,88.5849186260895,12576694436.0,7036716.0
160,2,89.36573459622251,12572262192.0,7036716.0
160,3,85.19737469598981,12572333313.0,7036716.0
160,4,87.37353355491273,12555243720.0,7036716.0
160,5,85.43024207050132,12561337382.0,7036716.0
160,6,87.2739407271936,12563849146.0,7036716.0
160,7,87.66671591835421,12278200814.0,7036716.0
160,8,87.11538530589183,12568423141.0,7036716.0
160,9,88.02426184446321,12569404992.0,7036716.0
160,10,86.97562699094625,12563610496.0,7036716.0
160,11,86.35673998853265,12552028096.0,7036716.0
160,12,89.63907754616571,12571268373.0,7036716.0
160,13,87.09611533263514,12584943930.0,7036716.0
160,14,86.21124070932976,12552285376.0,7036716.0
160,15,85.4339007754806,12558680715.0,7036716.0
160,16,88.01097033869341,12560780330.0,7036716.0
160,17,87.94307339720794,12569751747.0,7036716.0
160,18,88.23123933506923,12585048087.0,7036716.0
160,19,92.46348233568004,12569367893.0,7036716.0
180,0,96.25245508859668,14192373455.0,7229516.0
180,1,97.42483551687197,14178139536.0,7229516.0
180,2,98.3776189988776,14171670387.0,7229516.0
180,3,96.5542287700804,14173849997.0,7229516.0
180,4,98.80875270422636,14169156364.0,7229516.0
180,5,98.19918683628327,14166772053.0,7229516.0
180,6,101.0094540497862,14231320168.0,7229516.0
