K,I,Regret,ProcessTime,SpaceUsage
100,0,55.3554212814121,2295884289.0,18301600.0
100,1,54.44017765821711,2407834455.0,18301600.0
100,2,57.31142492909088,2739044720.0,18301600.0
100,3,55.88575312202541,3141530838.0,18301600.0
100,4,53.06720062089343,3372103767.0,18301600.0
100,5,55.219786714781726,3530817579.0,18301600.0
100,6,54.145211664840986,3586524498.0,18301600.0
100,7,57.43720720170055,3595236923.0,18301600.0
100,8,50.72091018873836,3603334660.0,18301600.0
100,9,50.53947731291079,3566653648.0,18301600.0
100,10,53.327879238085366,3553082222.0,18301600.0
100,11,53.911000011429806,3656277065.0,18301600.0
100,12,52.59070384556836,3689563907.0,18301600.0
100,13,56.81483372502806,3678571733.0,18301600.0
100,14,54.60131981199749,3673017626.0,18301600.0
100,15,54.94960154461912,3667972347.0,18301600.0
100,16,54.52459399321168,3685150336.0,18301600.0
100,17,54.47556529530584,3673417759.0,18301600.0
100,18,54.41000980087496,3639938583.0,18301600.0
100,19,57.1088010355675,3627459174.0,18301600.0
120,0,65.2069526830191,4151066965.0,18687200.0
120,1,67.33966932097132,4143862760.0,18687200.0
120,2,63.8188214383067,4116694415.0,18687200.0
120,3,63.25535287075817,4105277177.0,18687200.0
120,4,68.1979986827333,4120918654.0,18687200.0
120,5,64.11075318808417,4093759271.0,18687200.0
120,6,65.18084030672156,4096167044.0,18687200.0
120,7,66.35145998422063,4137257555.0,18687200.0
120,8,65.19475688799639,4062320457.0,18687200.0
120,9,67.48207500871389,4046998041.0,18687200.0
120,10,64.34020373543194,4014128095.0,18687200.0
120,11,61.17101105720772,4035846988.0,18687200.0
120,12,64.13784550972566,4009923351.0,18687200.0
120,13,66.90650756178127,3985880732.0,18687200.0
120,14,66.45846555496009,3987328835.0,18687200.0
120,15,64.99750041754936,3994569637.0,18687200.0
120,16,66.44926273496522,3975134310.0,18687200.0
120,17,63.72130840053072,3988586782.0,18687200.0
120,18,64.36872244543274,3970920583.0,18687200.0
120,19,61.96538174381899,3955957093.0,18687200.0
140,0,77.90852798183575,4562004504.0,19458400.0
140,1,80.4701147467851,4528130499.0,19458400.0
140,2,76.35031343336509,4522341330.0,19458400.0
140,3,79.03733865255066,4512757228.0,19458400.0
140,4,77.48715221858954,4525795138.0,19458400.0
140,5,76.89519600026931,4520042373.0,19458400.0
140,6,75.1618056865272,4517999671.0,19458400.0
140,7,74.75817349396445,4545975241.0,19458400.0
140,8,73.73769244976576,4564967496.0,19458400.0
140,9,76.3191391022982,4566339923.0,19458400.0
140,10,76.91793573863623,4610717342.0,19458400.0
140,11,75.69183860095144,4598040788.0,19458400.0
140,12,76.43850315900316,4654568877.0,19458400.0
140,13,76.63847915401054,4632736221.0,19458400.0
140,14,78.3059816960625,4597629582.0,19458400.0
140,15,77.02636393554121,4642993339.0,19458400.0
140,16,77.0062226141382,4621239513.0,19458400.0
140,17,79.8419135313294,4639185424.0,19458400.0
140,18,77.75113926130066,4668201533.0,19458400.0
140,19,74.34598958393045,4669578731.0,19458400.0
160,0,85.41298217971638,5273384274.0,20229600.0
160,1,89.959164598423,5297480117.0,20229600.0
160,2,88.1189168410784,5312608534.0,20229600.0
160,3,87.40266159902646,5288455580.0,20229600.0
160,4,86.4539088728445,5270029973.0,20229600.0
160,5,83.07999020461236,5318283559.0,20229600.0
160,6,85.64014392578062,5356772315.0,20229600.0
160,7,87.13482703488687,5341543623.0,20229600.0
160,8,82.2248683033188,5303106852.0,20229600.0
160,9,86.094256157106,5224007783.0,20229600.0
160,10,84.13722045652288,5253648740.0,20229600.0
160,11,86.63521327816309,5242834750.0,20229600.0
160,12,90.08957143191924,5243523079.0,20229600.0
160,13,88.83066600286335,5292562790.0,20229600.0
160,14,86.83106407279534,5285543368.0,20229600.0
160,15,86.06018651837702,5252231983.0,20229600.0
160,16,87.41779905820471,5245814957.0,20229600.0
160,17,88.1713860900663,5287476529.0,20229600.0
160,18,85.07719804272921,5251869988.0,20229600.0
160,19,90.8500802305175,5253949809.0,20229600.0
180,0,95.65625821061126,5568660698.0,20615200.0
180,1,99.2473520804659,5538632903.0,20615200.0
180,2,98.4119243255595,5508608786.0,20615200.0
180,3,96.2911715682292,5487856221.0,20615200.0
180,4,98.53715638371004,5515455255.0,20615200.0
180,5,97.06182415851497,5540009896.0,20615200.0
180,6,98.8078796148453,5535531032.0,20615200.0
180,7,99.89467866954884,5493256304.0,20615200.0
180,8,96.5625980489196,5495752576.0,20615200.0
180,9,97.23356785854578,5470640499.0,20615200.0
180,10,98.27728551344548,5511340071.0,20615200.0
180,11,100.5457628668395,5444982401.0,20615200.0
180,12,98.0790770696349,5465530195.0,20615200.0
180,13,97.34394163956502,5501121673.0,20615200.0
180,14,92.95917964098489,5451146304.0,20615200.0
180,15,98.6324912481577,5452584793.0,20615200.0
180,16,100.4664872070789,5442021520.0,20615200.0
180,17,104.03441915907096,5411117112.0,20615200.0
180,18,93.98001130758304,5466932684.0,20615200.0
180,19,94.12384057098323,5468895337.0,20615200.0
200,0,111.97162739981864,4282733862.0,21386400.0
200,1,110.96052739024135,5314297539.0,21386400.0
200,2,110.45555213774196,6360953788.0,21386400.0
200,3,105.115872654997,6324414097.0,21386400.0
200,4,110.06903911186647,6385240004.0,21386400.0
200,5,109.68993425281808,6257205478.0,21386400.0
200,6,108.21607296482748,6245115541.0,21386400.0
200,7,113.29634126675404,6180305027.0,21386400.0
200,8,111.13611278107052,6172785911.0,21386400.0
200,9,109.53497028767444,6198994852.0,21386400.0
200,10,106.71946710222235,6159843311.0,21386400.0
200,11,101.80447231215824,6149305566.0,21386400.0
200,12,109.60789604231334,6118705805.0,21386400.0
200,13,115.45874122427516,6108793139.0,21386400.0
200,14,106.99012416519366,6127453881.0,21386400.0
200,15,107.30406322982503,6057339949.0,21386400.0
200,16,107.83184338736822,6080986556.0,21386400.0
200,17,113.0760798388947,6037022495.0,21386400.0
200,18,110.89807272072568,6019413134.0,21386400.0
200,19,107.34161857101762,5969941640.0,21386400.0
220,0,119.8117573276489,6491872916.0,21772000.0
220,1,123.42818155027554,6513885869.0,21772000.0
220,2,119.59407291279231,6524200101.0,21772000.0
220,3,120.03645821721771,6476366522.0,21772000.0
220,4,117.10033003649504,6455241558.0,21772000.0
220,5,116.08869568507264,6397887752.0,21772000.0
220,6,117.46158443190714,6467808580.0,21772000.0
220,7,122.6605841364124,6457403524.0,21772000.0
220,8,115.91569531037474,6426106623.0,21772000.0
220,9,122.04120764281032,6439019203.0,21772000.0
220,10,118.073090542195,6480631639.0,21772000.0
220,11,115.9778839197112,6534330443.0,21772000.0
220,12,120.98404233199405,6514861272.0,21772000.0
220,13,121.13752970042924,6520141598.0,21772000.0
220,14,123.60773480856167,6515595169.0,21772000.0
220,15,122.59722081777346,6533214070.0,21772000.0
220,16,119.76214086927232,6546562138.0,21772000.0
220,17,113.48396181577463,6559606631.0,21772000.0
220,18,115.91814870109238,6583581670.0,21772000.0
220,19,121.2169548989202,6659263614.0,21772000.0
240,0,130.80891924944973,6870149120.0,22157600.0
240,1,136.73536430843222,6816437996.0,22157600.0
240,2,133.4709231819249,6834304333.0,22157600.0
240,3,122.05922904570129,6939990802.0,22157600.0
240,4,136.2526581775084,6905892280.0,22157600.0
240,5,129.5220718165153,6838198469.0,22157600.0
240,6,130.44614362205408,6854028378.0,22157600.0
240,7,130.11448836976228,6850117891.0,22157600.0
240,8,129.0291278516579,6843828482.0,22157600.0
240,9,123.61754299000174,6886720173.0,22157600.0
