K,I,Regret,ProcessTime,SpaceUsage
100,0,53.242394752378935,2528163153.0,4612800.0
100,1,54.03384520961327,2807860342.0,4612800.0
100,2,55.12213693393793,3090202545.0,4612800.0
100,3,55.6264962715173,3183504013.0,4612800.0
100,4,50.39691742125791,3179941480.0,4612800.0
100,5,55.9014613863206,3161676617.0,4612800.0
100,6,54.3135546134432,3178680477.0,4612800.0
100,7,54.24937590126595,3191437576.0,4612800.0
100,8,51.27811908031516,3158288869.0,4612800.0
100,9,51.57412410023928,3307277390.0,4612800.0
100,10,53.15415315058306,5027497160.0,4612800.0
100,11,54.17294745050485,3152402999.0,4612800.0
100,12,54.69578843263079,3129038483.0,4612800.0
100,13,56.18766751286237,3187823693.0,4612800.0
100,14,53.01032225744579,3240748555.0,4612800.0
100,15,54.76991651866081,3266826507.0,4612800.0
100,16,55.145658349560826,3259197426.0,4612800.0
100,17,54.64649699218421,3276971182.0,4612800.0
100,18,54.480843774023775,3342942657.0,4612800.0
100,19,54.99893704834616,3439607872.0,4612800.0
120,0,67.7631085576415,4236680151.0,4805600.0
120,1,65.89189982195856,4295278367.0,4805600.0
120,2,64.80231980263858,4287032161.0,4805600.0
120,3,63.377468267321895,4242635269.0,4805600.0
120,4,66.94831810047143,4273119864.0,4805600.0
120,5,65.19733757828783,4322595391.0,4805600.0
120,6,66.02073719687712,4514702101.0,4805600.0
120,7,66.47165878755979,7171343185.0,4805600.0
120,8,64.40990921148716,8971447211.0,4805600.0
120,9,65.95647691782258,9042510118.0,4805600.0
120,10,63.4708352967697,8933484337.0,4805600.0
120,11,60.743724727595485,8953335253.0,4805600.0
120,12,66.46530969541449,8939044930.0,4805600.0
120,13,65.20722761839227,8862471095.0,4805600.0
120,14,66.65283874891159,6047553147.0,4805600.0
120,15,65.05895218149756,6716410471.0,4805600.0
120,16,67.10734372810106,8971996640.0,4805600.0
120,17,65.73653486388733,8937544273.0,4805600.0
120,18,62.086030848698734,8934668311.0,4805600.0
120,19,61.584874757966766,8945394726.0,4805600.0
140,0,77.26091241493235,10500741122.0,5191200.0
140,1,80.30834903072449,10732164918.0,5191200.0
140,2,76.2596364880855,6968260903.0,5191200.0
140,3,78.3039677311445,5361788498.0,5191200.0
140,4,78.74531976280751,5271738105.0,5191200.0
140,5,74.80772604081056,5267842254.0,5191200.0
140,6,73.84929743854244,5283886576.0,5191200.0
140,7,78.4088028591305,5314983914.0,5191200.0
140,8,77.29336632930764,5307917628.0,5191200.0
140,9,75.87081129312965,5337306117.0,5191200.0
140,10,74.5586007852835,5344032959.0,5191200.0
140,11,76.58698143321143,5344802349.0,5191200.0
140,12,76.33068058994101,5385886898.0,5191200.0
140,13,77.48383856027432,5454072297.0,5191200.0
140,14,78.68101504727358,5214636677.0,5191200.0
140,15,76.80152061693475,5044422091.0,5191200.0
140,16,76.51247287806139,5015826813.0,5191200.0
140,17,77.85752615543036,5016785027.0,5191200.0
140,18,77.82676283088577,4775841650.0,5191200.0
140,19,75.20803125709423,4477226917.0,5191200.0
160,0,87.02997090674013,5349686234.0,5576800.0
160,1,88.41757489037361,5958263447.0,5576800.0
160,2,87.88896856793197,5755475710.0,5576800.0
160,3,82.94546890671727,7971643937.0,5576800.0
160,4,86.28743516181078,12066557971.0,5576800.0
160,5,84.17546399159703,11986142393.0,5576800.0
160,6,85.32060499011817,12006985345.0,5576800.0
160,7,90.08093970161958,12114399650.0,5576800.0
160,8,87.07182596921076,11637055208.0,5576800.0
160,9,88.27164703250733,11489753048.0,5576800.0
160,10,85.337584991771,11329937074.0,5576800.0
160,11,84.56639575127211,11320168187.0,5576800.0
160,12,89.40944383158971,9942263972.0,5576800.0
160,13,89.139587607145,11040113168.0,5576800.0
160,14,84.38280938277498,11412166573.0,5576800.0
160,15,83.2142212264166,11663871274.0,5576800.0
160,16,87.26894414550831,11576209620.0,5576800.0
160,17,87.63152130600307,11466861597.0,5576800.0
160,18,85.20285099777361,11393795530.0,5576800.0
160,19,93.18746102858316,11243073494.0,5576800.0
180,0,94.60940758289443,12798094354.0,5769600.0
180,1,95.45383548896729,13233422261.0,5769600.0
180,2,98.3989636218474,13009466909.0,5769600.0
180,3,95.9714258602246,13256196056.0,5769600.0
180,4,98.19472709579884,13391258221.0,5769600.0
180,5,96.21373709442392,13407400295.0,5769600.0
180,6,99.65594466208964,13093245925.0,5769600.0
180,7,98.41315568681676,12824975300.0,5769600.0
180,8,93.5475445188599,12872528610.0,5769600.0
180,9,97.12889662924928,13009556484.0,5769600.0
180,10,97.72002225445712,12904100797.0,5769600.0
180,11,98.75081884458048,13313167326.0,5769600.0
180,12,101.41189463799928,13538597155.0,5769600.0
180,13,98.82609633096116,13331066121.0,5769600.0
180,14,96.41715930356388,12949731676.0,5769600.0
180,15,96.5853727889004,12780896845.0,5769600.0
180,16,99.45992025652484,13063432441.0,5769600.0
180,17,103.4237888953953,12922066300.0,5769600.0
180,18,94.948088908257,13264102063.0,5769600.0
180,19,97.13661641945852,13370763435.0,5769600.0
200,0,111.56644032409343,14766520957.0,6155200.0
200,1,111.20392998647236,14582986194.0,6155200.0
200,2,106.1414647985309,14240252999.0,6155200.0
200,3,102.87655897556785,14555972055.0,6155200.0
200,4,109.1054295684455,14616552357.0,6155200.0
200,5,108.29426797634812,14918380258.0,6155200.0
200,6,103.43640750449524,14783592555.0,6155200.0
200,7,108.57463617161918,14581997169.0,6155200.0
200,8,104.91856118064683,11845056624.0,6155200.0
200,9,111.56010778591929,7257496212.0,6155200.0
200,10,111.70618844670808,7380642496.0,6155200.0
200,11,106.09988219439464,7411591977.0,6155200.0
200,12,110.02034999373392,7399942604.0,6155200.0
200,13,106.74818435594015,7255514268.0,6155200.0
200,14,105.87295277191572,7642402001.0,6155200.0
200,15,106.45778781389927,7664159243.0,6155200.0
200,16,107.74778030758146,7595388567.0,6155200.0
200,17,108.52699440171745,7643776267.0,6155200.0
200,18,110.022729453356,9784042407.0,6155200.0
200,19,107.8518260281448,7331646486.0,6155200.0
220,0,117.50324708997034,8054580669.0,6348000.0
220,1,119.6382862534991,8047468707.0,6348000.0
220,2,119.5184392237208,8512621633.0,6348000.0
220,3,115.92449993259726,8498473011.0,6348000.0
220,4,115.5983392103238,8083385100.0,6348000.0
220,5,117.3122383651,8204716812.0,6348000.0
220,6,118.67302723804232,8351378750.0,6348000.0
220,7,118.76478089820924,8358828601.0,6348000.0
220,8,119.30413178397906,8331286875.0,6348000.0
220,9,119.9398522845012,8708577422.0,6348000.0
220,10,117.6409088421387,13803876812.0,6348000.0
220,11,116.56832356572664,8027043830.0,6348000.0
220,12,118.75145642810972,8177779047.0,6348000.0
220,13,123.3841885581078,8222523611.0,6348000.0
220,14,117.5866168500939,8167958663.0,6348000.0
220,15,120.08607396223604,8099996897.0,6348000.0
220,16,121.43665833417812,8603140728.0,6348000.0
220,17,120.52893742665395,8599519370.0,6348000.0
220,18,120.55040213422312,8337600160.0,6348000.0
220,19,121.41335619242332,8317540825.0,6348000.0
240,0,129.9908156022536,9165280669.0,6540800.0
240,1,132.6353267017078,9007677368.0,6540800.0
240,2,131.39323506957052,9002083191.0,6540800.0
240,3,131.8426277219514,9148659034.0,6540800.0
240,4,130.8409570100644,9158369416.0,6540800.0
240,5,129.58871941652492,9245884101.0,6540800.0
240,6,131.31694950698727,14268071442.0,6540800.0
240,7,129.04058028385978,18148085050.0,6540800.0
240,8,130.18978154073733,18010943597.0,6540800.0
240,9,132.77700823984438,17954021026.0,6540800.0
240,10,128.29536478880732,17840659960.0,6540800.0
240,11,130.30144735477057,18174872365.0,6540800.0
240,12,133.6592541839371,18224771732.0,6540800.0
240,13,130.1793899320952,17843829615.0,6540800.0
240,14,130.04842163401335,17876923950.0,6540800.0
240,15,130.61888768016323,17958281378.0,6540800.0
240,16,128.0518956554339,18384125600.0,6540800.0
240,17,129.14235214039567,17926833335.0,6540800.0
240,18,131.82915409889907,17822616605.0,6540800.0
240,19,131.29297302428563,17977568335.0,6540800.0
260,0,146.7004769945727,14663753553.0,6926400.0
260,1,140.93151765687062,10126639277.0,6926400.0
260,2,139.0009110643987,9998214795.0,6926400.0
