K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,5569168811.0,21171116.0
120,66.33029455611023,11457749901.0,21171116.0
140,77.58493028953075,12912534342.0,21363916.0
160,86.77125908833145,14156357299.0,21556716.0
180,101.37291840435331,17142009714.0,21749516.0
200,112.3873276964351,18894415333.0,21942316.0
220,118.78187767554866,20514028445.0,21942316.0
240,132.68106561613806,19563944088.0,22135116.0
260,140.8157627027297,18728396588.0,22327916.0
280,153.90207872195327,20100782557.0,22327916.0
300,164.93587868879382,20433320778.0,22520716.0
320,174.41972804269363,24466529112.0,22520716.0
340,190.97995680039227,25134607565.0,22713516.0
360,197.3312532596732,26112798246.0,22713516.0
380,206.2112305347349,27409277635.0,22906316.0
400,222.6228863610878,29190055102.0,23099116.0
420,233.4787535227853,30665130812.0,23099116.0
440,239.88902974456136,36761291250.0,23099116.0
460,248.48748557625763,42839237322.0,23291916.0
480,265.7272011036063,42717459925.0,23291916.0
500,273.6067810973717,46899986382.0,23484716.0
520,289.2991045852832,47868125623.0,23484716.0
540,295.02827273716275,40653706320.0,23677516.0
560,310.412361295766,42435126054.0,23677516.0
580,319.8324789954842,44354840038.0,23870316.0
600,323.496891221112,45854599368.0,23870316.0
620,343.8486801047908,55587774088.0,23870316.0
640,361.860992416146,53836732038.0,24063116.0
660,361.3391157825607,64714298763.0,24063116.0
680,374.2710412775855,54102196246.0,24255916.0
700,385.69088462809145,52857748727.0,24255916.0
720,395.7695803517291,55863918002.0,24255916.0
740,409.6507904618601,56085750294.0,24448716.0
760,417.2352398533644,57755108506.0,24448716.0
780,425.4262608891712,59241027450.0,24448716.0
800,448.51799167292126,55338708058.0,24641516.0
820,452.03223422449486,63181969795.0,24641516.0
840,465.2051800625329,64424223854.0,24641516.0
860,477.1393617269296,66240429280.0,24834316.0
880,479.3803839464219,67548057993.0,24834316.0
900,498.0782123245264,71973343190.0,25027116.0
920,502.5343055317072,74428132741.0,25027116.0
940,521.3340204274722,74851622989.0,25027116.0
960,523.7068557123948,76006678673.0,25027116.0
980,548.1116940078912,50335659508.0,25219916.0
1000,549.7613219775734,41217073661.0,25219916.0
