K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,2167666441.0,5576800.0
120,66.33029455611023,3213027280.0,5962400.0
140,77.58493028953075,6493070174.0,6540800.0
160,86.77125908833145,7487785232.0,6926400.0
180,101.37291840435331,8642863461.0,7312000.0
200,112.3873276964351,9682704665.0,7697600.0
220,118.78187767554866,10956281894.0,8083200.0
240,132.68106561613806,11949575406.0,8468800.0
260,140.8157627027297,13266009922.0,8854400.0
280,153.90207872195327,14413600902.0,9240000.0
300,164.93587868879382,13067388152.0,9625600.0
320,174.41972804269363,18040095487.0,9818400.0
340,190.97995680039227,20750465693.0,10204000.0
360,197.3312532596732,23129925882.0,10396800.0
380,206.2112305347349,24778246642.0,10782400.0
400,222.6228863610878,27380495575.0,10975200.0
420,233.4787535227853,26883079210.0,11360800.0
440,239.88902974456136,29264723039.0,11553600.0
460,248.48748557625763,31071863229.0,11939200.0
480,265.7272011036063,31178437850.0,12132000.0
500,273.6067810973717,29595891987.0,12517600.0
520,289.2991045852832,39259994232.0,12710400.0
540,295.02827273716275,40689478393.0,12903200.0
560,310.412361295766,41838293224.0,13096000.0
580,319.8324789954842,45660053768.0,13481600.0
600,323.496891221112,41720666645.0,13674400.0
620,343.8486801047908,44534982690.0,13867200.0
640,361.860992416146,47062896562.0,14060000.0
660,361.3391157825607,47710013214.0,14445600.0
680,374.2710412775855,51026491216.0,14638400.0
700,385.69088462809145,45202064844.0,14831200.0
720,395.7695803517291,50050546799.0,15024000.0
740,409.6507904618601,49086996005.0,15216800.0
760,417.2352398533644,50760468568.0,15409600.0
780,425.4262608891712,52518258865.0,15602400.0
800,448.51799167292126,53565249230.0,15988000.0
820,452.03223422449486,56190372216.0,16180800.0
840,465.2051800625329,58067986897.0,16373600.0
860,477.1393617269296,64570021622.0,16566400.0
880,479.3803839464219,64532102277.0,16759200.0
900,498.0782123245264,66628215671.0,16952000.0
920,502.5343055317072,71996319924.0,17144800.0
940,521.3340204274722,74130157007.0,17337600.0
960,523.7068557123948,69091246802.0,17530400.0
980,548.1116940078912,75739859230.0,17723200.0
1000,549.7613219775734,78280948728.0,17916000.0
1020,564.3498766321295,81255135667.0,18108800.0
1040,572.4339352530178,81381016610.0,18301600.0
1060,578.5263455421242,85092063102.0,18494400.0
1080,589.6055897869678,87674726047.0,18687200.0
1100,605.7512609111797,91698924954.0,18880000.0
1120,620.2168047663589,93406981516.0,19072800.0
1140,618.7196305904239,88334300538.0,19265600.0
1160,648.1637109331241,89581060119.0,19265600.0
1180,650.6750027804795,92038086117.0,19458400.0
1200,667.5206328895871,102859744360.0,19651200.0
1220,666.3197011265264,102598050462.0,19844000.0
1240,678.1304691505674,107265299511.0,20036800.0
1260,696.0861650804017,109520120538.0,20229600.0
1280,705.2769503244929,113675648638.0,20422400.0
1300,716.8118738128521,115849190791.0,20615200.0
1320,728.8361574749986,121431071651.0,20808000.0
1340,732.589675997812,123016433790.0,20808000.0
1360,756.0852747959678,126596356987.0,21000800.0
1380,762.1151296718347,131057172788.0,21193600.0
1400,769.9134455612397,130717671864.0,21386400.0
1420,778.1981595047139,135375521333.0,21579200.0
1440,797.8240267591169,138431954790.0,21772000.0
1460,802.0264951376765,133236145422.0,21964800.0
1480,812.304468624867,135224927642.0,21964800.0
1500,825.9790246431345,131161723791.0,22157600.0
1520,837.5654703940436,140263883723.0,22350400.0
1540,853.84106741594,143104097964.0,22543200.0
1560,861.4224531395707,148879545712.0,22736000.0
1580,868.0173389892085,150079596265.0,22736000.0
1600,876.3101901965604,148811987631.0,22928800.0
1620,896.7783485731933,154780225519.0,23121600.0
1640,902.5197505598286,158306850742.0,23314400.0
1660,905.6072706226246,163616959000.0,23507200.0
1680,919.672541915393,165619688485.0,23507200.0
1700,933.878047326288,154827361710.0,23700000.0
1720,944.4781552046952,161032320443.0,23892800.0
1740,968.2890599822668,164354504488.0,24085600.0
1760,975.5290718857848,166116141772.0,24085600.0
1780,971.0906144430932,171117218054.0,24278400.0
1800,989.9502319401852,110609341716.0,24471200.0
1820,1004.2301169986608,108748013936.0,24664000.0
1840,1009.1141861978572,177042846927.0,24664000.0
1860,1018.2781636135076,174800922162.0,24856800.0
1880,1015.988085342815,187853776106.0,25049600.0
1900,1044.258997040897,186833272812.0,25242400.0
1920,1056.853910499215,190703033196.0,25242400.0
1940,1075.3799394397213,197283129331.0,25435200.0
1960,1081.282085575143,201322520608.0,25628000.0
1980,1082.5885926643457,207820792762.0,25820800.0
2000,1106.213591014182,209134922866.0,25820800.0
2020,1111.8981720832817,206410984872.0,26013600.0
2040,1111.802974205038,213903835473.0,26206400.0
2060,1119.2769278117978,216051195368.0,26206400.0
2080,1138.504127092415,218301749732.0,26399200.0
2100,1156.5009336873752,226758227782.0,26592000.0
2120,1166.5382045213432,222742328411.0,26784800.0
2140,1186.1080197248175,223951921344.0,26784800.0
2160,1183.5611429554149,232896633636.0,26977600.0
2180,1203.5541670488235,235700777561.0,27170400.0
2200,1213.1673465667018,237918345217.0,27170400.0
2220,1213.393701182409,245815324438.0,27363200.0
2240,1214.587204584693,241886800767.0,27556000.0
2260,1238.1008685245872,241256790523.0,27556000.0
2280,1248.6619535614464,250706641791.0,27748800.0
2300,1270.0861587675315,306155680101.0,27941600.0
2320,1279.791396231503,286273588502.0,27941600.0
2340,1292.9817982890954,195185082693.0,28134400.0
2360,1290.984955446051,168148800683.0,28327200.0
2380,1312.7328074993204,170105362451.0,28327200.0
2400,1317.8658588183926,169997291867.0,28520000.0
2420,1317.2096351860807,173884664270.0,28712800.0
2440,1330.3179698970011,178168788156.0,28712800.0
2460,1354.4809818680806,186426615112.0,28905600.0
2480,1356.7163149002013,179181943451.0,29098400.0
2500,1378.8256002032456,324047898618.0,29098400.0
2520,1391.3826666721884,358001394733.0,29291200.0
2540,1400.1209821710925,346163205263.0,29484000.0
2560,1403.041587642194,329384276423.0,29484000.0
2580,1426.7956489641829,335377313551.0,29676800.0
2600,1420.7580807079764,306316983682.0,29869600.0
2620,1420.875026146558,305701638019.0,29869600.0
2640,1453.591012934783,315436712329.0,30062400.0
2660,1459.1820965103004,320525301688.0,30255200.0
2680,1467.421306767327,323004360894.0,30255200.0
2700,1488.1789987110667,338865415659.0,30448000.0
2720,1504.517787309542,341563674590.0,30448000.0
2740,1505.4489411768682,336961075316.0,30640800.0
2760,1521.7681661541744,345682187971.0,30833600.0
2780,1527.2219105043,347383795842.0,30833600.0
2800,1524.2896290555325,349420151922.0,31026400.0
2820,1536.792113971149,355424946597.0,31219200.0
2840,1560.5905304877056,356841809206.0,31219200.0
2860,1566.2149861261018,350808059120.0,31412000.0
2880,1590.821211106398,352136125816.0,31412000.0
2900,1598.081987252148,375253711338.0,31604800.0
2920,1609.0066661850478,377931338452.0,31797600.0
2940,1618.0661391783924,380001212910.0,31797600.0
2960,1633.006422257622,387072556187.0,31990400.0
2980,1630.5757485208217,389875290992.0,31990400.0
3000,1633.1231905762263,381987043582.0,32183200.0
3020,1660.9659720544298,392592986528.0,32376000.0
3040,1665.0797771823563,393255122998.0,32376000.0
3060,1682.3117326464524,398909364196.0,32568800.0
3080,1701.969383827589,399986520389.0,32568800.0
3100,1706.9465242716085,426760792957.0,32761600.0
3120,1725.6765521422549,414022395066.0,32954400.0
3140,1722.8741367343832,412869039006.0,32954400.0
3160,1744.5543824471304,427477127907.0,33147200.0
3180,1737.8500643021328,426223249352.0,33147200.0
3200,1741.3376911958642,429206761987.0,33340000.0
3220,1768.2943262373549,431987097214.0,33340000.0
3240,1774.9117846109416,439607028698.0,33532800.0
3260,1794.450987441726,430829601900.0,33725600.0
3280,1810.834067997494,432680977604.0,33725600.0
3300,1811.675889932179,465674187688.0,33918400.0
3320,1840.3773774422916,466034980089.0,33918400.0
3340,1831.5402226488293,472424954201.0,34111200.0
3360,1857.829814010195,473273286693.0,34111200.0
3380,1837.2288946698773,480643343136.0,34304000.0
3400,1860.4426506345428,469439565730.0,34496800.0
3420,1876.3594365516835,472854765001.0,34496800.0
3440,1892.3268182121997,480873478923.0,34689600.0
3460,1914.603585134901,483105060446.0,34689600.0
3480,1910.903165898796,490357029793.0,34882400.0
3500,1921.8593440224504,510450023130.0,34882400.0
3520,1954.8081798486464,524463597362.0,35075200.0
3540,1939.839330424034,514171435222.0,35268000.0
3560,1958.7183184244136,511758356246.0,35268000.0
3580,1946.6349812507167,521244734131.0,35460800.0
3600,1979.4318620316972,522675986839.0,35460800.0
3620,1979.3178717497285,528005220601.0,35653600.0
3640,2004.0580300631696,530218246313.0,35653600.0
3660,2017.2261171974565,542560165737.0,35846400.0
3680,2030.2007023068663,543638185600.0,35846400.0
3700,2033.7727561842175,516676912892.0,36039200.0
3720,2061.5491704787382,532148036533.0,36232000.0
3740,2055.560482134529,525972055502.0,36232000.0
3760,2062.135378303804,532154035847.0,36424800.0
3780,2058.784741261497,530024054778.0,36424800.0
3800,2081.7688164289743,548887654672.0,36617600.0
3820,2100.8725896533383,548096506355.0,36617600.0
3840,2119.488816449187,389540557645.0,36810400.0
3860,2124.251053493352,336347259933.0,36810400.0
3880,2133.0925098249863,350062270999.0,37003200.0
3900,2144.083403634588,595508138963.0,37003200.0
3920,2168.634276048881,639113817611.0,37196000.0
3940,2166.5570709867475,639003788137.0,37196000.0
3960,2169.495973672946,650836795431.0,37388800.0
3980,2169.6190174641424,653307847457.0,37388800.0
4000,2197.807535261523,642940665492.0,37581600.0
4020,2209.2089964695097,648310308046.0,37774400.0
4040,2224.821164231028,515362070580.0,37774400.0
4060,2239.85817458812,375491078790.0,37967200.0
4080,2250.452675847327,376154287021.0,37967200.0
4100,2256.2339395839062,838631649878.0,38160000.0
4120,2272.749093792225,579799963641.0,38160000.0
4140,2281.0163282909098,482614884902.0,38352800.0
4160,2271.653248570944,457563236081.0,38352800.0
4180,2289.9633072728693,462296145621.0,38545600.0
4200,2297.782114764029,451501345187.0,38545600.0
4220,2331.9709763177607,451754622195.0,38738400.0
4240,2332.710625305901,452125570586.0,38738400.0
4260,2342.934442920191,462672908999.0,38931200.0
4280,2365.261985172018,463622646827.0,38931200.0
4300,2370.2970069880744,620187049644.0,39124000.0
4320,2378.344568515166,439224534658.0,39124000.0
